sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-pooled_WT-100ng_3	Promoter	1	281327	0.422073226352365	903106	0.604968870870718	29405
K562-pooled_WT-100ng_3	Promoter	2	112627	0.718376068376068	734406	0.747062736888363	13734
K562-pooled_WT-100ng_3	Promoter	3	71713	0.780345814426708	652578	0.764773302581988	9979
K562-pooled_WT-100ng_3	Promoter	4	52231	0.798504838635703	594132	0.767779052817666	8194
K562-pooled_WT-100ng_3	Promoter	5	40763	0.802974490298434	548260	0.76653132899358	7079
K562-pooled_WT-100ng_3	Promoter	6	33008	0.801515225098344	509485	0.763464417314894	6286
K562-pooled_WT-100ng_3	Promoter	7	27608	0.799050678706839	477085	0.760237878597141	5677
K562-pooled_WT-100ng_3	Promoter	8	23605	0.795853000674309	449064	0.756879203114729	5158
K562-pooled_WT-100ng_3	Promoter	9	20464	0.791307374038127	423936	0.75310435978242	4735
K562-pooled_WT-100ng_3	Promoter	10	17918	0.786843492007729	401022	0.749409942124806	4405
K562-pooled_WT-100ng_3	Promoter	11	15803	0.781823578884876	379872	0.745538509244849	4067
K562-pooled_WT-100ng_3	Promoter	12	13980	0.775847716299462	359819	0.741294167818654	3738
K562-pooled_WT-100ng_3	Promoter	13	12522	0.770489785872508	342323	0.737464696492162	3488
K562-pooled_WT-100ng_3	Promoter	14	11295	0.765036575453807	326372	0.733675774708044	3262
K562-pooled_WT-100ng_3	Promoter	15	10234	0.759706035186697	311518	0.729989712777948	3061
K562-pooled_WT-100ng_3	Promoter	16	9329	0.754224270353303	297943	0.72631291548537	2869
K562-pooled_WT-100ng_3	Promoter	17	8467	0.749159440806937	284151	0.722771219486139	2687
K562-pooled_WT-100ng_3	Promoter	18	7782	0.745830937320299	272506	0.720181825389484	2530
K562-pooled_WT-100ng_3	Promoter	19	7119	0.740482629498648	260572	0.71659539360605	2384
K562-pooled_WT-100ng_3	Promoter	20	6546	0.737245185268611	249685	0.714079391408797	2239
K562-pooled_WT-100ng_3	Promoter	21	6034	0.732815156667476	239445	0.711025656253712	2120
K562-pooled_WT-100ng_3	Promoter	22	5552	0.726796701138892	229323	0.707208610241623	2000
K562-pooled_WT-100ng_3	Promoter	23	5168	0.724824684431978	220875	0.70551990468494	1904
K562-pooled_WT-100ng_3	Promoter	24	4817	0.722839135654262	212802	0.70382901878293	1819
K562-pooled_WT-100ng_3	Promoter	25	4510	0.71918354329453	205434	0.70133860445109	1731
K562-pooled_WT-100ng_3	Promoter	26	4180	0.713188875618495	197184	0.697584083037638	1643
K562-pooled_WT-100ng_3	Promoter	27	3931	0.710721388537335	190710	0.695800968305684	1576
K562-pooled_WT-100ng_3	Promoter	28	3676	0.707195075028857	183825	0.693428041162447	1505
K562-pooled_WT-100ng_3	Promoter	29	3474	0.704094041345764	178169	0.691370719895694	1441
K562-pooled_WT-100ng_3	Promoter	30	3238	0.699654278305964	171325	0.688522284290479	1362
K562-pooled_WT-100ng_3	Promoter	31	3032	0.695572378986006	165145	0.685932048513042	1290
K562-pooled_WT-100ng_3	Promoter	32	2854	0.694066147859922	159627	0.684791701522503	1232
K562-pooled_WT-100ng_3	Promoter	33	2686	0.689425051334702	154251	0.681950210220566	1182
K562-pooled_WT-100ng_3	Promoter	34	2534	0.689148762578189	149235	0.681550391845235	1132
K562-pooled_WT-100ng_3	Promoter	35	2403	0.689724454649828	144781	0.681636707752281	1070
K562-pooled_WT-100ng_3	Promoter	36	2272	0.687235329703569	140196	0.679995343693615	1037
K562-pooled_WT-100ng_3	Promoter	37	2142	0.684126477163845	135516	0.678013928914505	992
K562-pooled_WT-100ng_3	Promoter	38	2030	0.682352941176471	131372	0.67682637815559	944
K562-pooled_WT-100ng_3	Promoter	39	1943	0.682712579058327	128066	0.676888762037654	911
K562-pooled_WT-100ng_3	Promoter	40	1857	0.681968417186926	124712	0.676308696807501	880
K562-pooled_WT-100ng_3	Promoter	41	1757	0.680216802168022	120712	0.675119266670768	847
K562-pooled_WT-100ng_3	Promoter	42	1676	0.677445432497979	117391	0.673376087006402	813
K562-pooled_WT-100ng_3	Promoter	43	1596	0.675698560541914	114031	0.672241611054779	777
K562-pooled_WT-100ng_3	Promoter	44	1533	0.673846153846154	111322	0.671071271407645	756
K562-pooled_WT-100ng_3	Promoter	45	1462	0.673732718894009	108198	0.67092461569943	726
K562-pooled_WT-100ng_3	Promoter	46	1403	0.675493500240732	105543	0.671897480296915	708
K562-pooled_WT-100ng_3	Promoter	47	1338	0.672361809045226	102553	0.6699307551607	684
K562-pooled_WT-100ng_3	Promoter	48	1274	0.668065023597273	99545	0.667285609904879	660
K562-pooled_WT-100ng_3	Promoter	49	1213	0.663203936577365	96617	0.664331144497542	636
K562-pooled_WT-100ng_3	Promoter	50	1159	0.664183381088825	93971	0.664956587578457	616
