sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-unpooled_WT-100ng_2	Promoter	1	195149	0.5713177409486	641512	0.724522744393383	25255
K562-unpooled_WT-100ng_2	Promoter	2	82341	0.80074880871341	528704	0.817566648110348	11856
K562-unpooled_WT-100ng_2	Promoter	3	52104	0.835441820193372	468230	0.827621192249635	8725
K562-unpooled_WT-100ng_2	Promoter	4	37935	0.843581133669861	425723	0.828964483215204	7111
K562-unpooled_WT-100ng_2	Promoter	5	29491	0.845498853211009	391947	0.828283361932697	6069
K562-unpooled_WT-100ng_2	Promoter	6	23906	0.844585762232821	364022	0.826704577713482	5369
K562-unpooled_WT-100ng_2	Promoter	7	19861	0.842353040970396	339752	0.824706833314319	4760
K562-unpooled_WT-100ng_2	Promoter	8	16845	0.838226512738854	318640	0.822099470320671	4262
K562-unpooled_WT-100ng_2	Promoter	9	14474	0.836453999075358	299672	0.820441497356656	3874
K562-unpooled_WT-100ng_2	Promoter	10	12625	0.834049018960164	283031	0.818590674294441	3530
K562-unpooled_WT-100ng_2	Promoter	11	11131	0.830423754103253	268091	0.816295398631038	3247
K562-unpooled_WT-100ng_2	Promoter	12	9860	0.827042442543197	254110	0.814136779848905	2982
K562-unpooled_WT-100ng_2	Promoter	13	8780	0.825731214144644	241150	0.812899876623946	2757
K562-unpooled_WT-100ng_2	Promoter	14	7910	0.822074412803991	229840	0.810691648648553	2573
K562-unpooled_WT-100ng_2	Promoter	15	7162	0.820483445984649	219368	0.80944913268563	2413
K562-unpooled_WT-100ng_2	Promoter	16	6447	0.816696224980998	208643	0.807179554633943	2256
K562-unpooled_WT-100ng_2	Promoter	17	5861	0.815273334260676	199267	0.806083234899112	2111
K562-unpooled_WT-100ng_2	Promoter	18	5334	0.811872146118721	190308	0.804069612685429	1988
K562-unpooled_WT-100ng_2	Promoter	19	4947	0.809656301145663	183342	0.802719777934422	1887
K562-unpooled_WT-100ng_2	Promoter	20	4543	0.808650765396938	175666	0.801933778583265	1768
K562-unpooled_WT-100ng_2	Promoter	21	4213	0.809725158562368	169066	0.802199731439173	1672
K562-unpooled_WT-100ng_2	Promoter	22	3916	0.808422791081751	162829	0.801268613382936	1587
K562-unpooled_WT-100ng_2	Promoter	23	3620	0.807314897413024	156317	0.800418855674009	1495
K562-unpooled_WT-100ng_2	Promoter	24	3383	0.80547619047619	150866	0.799239253663343	1420
K562-unpooled_WT-100ng_2	Promoter	25	3155	0.803207739307536	145394	0.797842334580814	1343
K562-unpooled_WT-100ng_2	Promoter	26	2942	0.80119825708061	140069	0.796597927590796	1274
K562-unpooled_WT-100ng_2	Promoter	27	2765	0.799595141700405	135467	0.795601104128737	1210
K562-unpooled_WT-100ng_2	Promoter	28	2584	0.796547472256473	130580	0.79383799820052	1152
K562-unpooled_WT-100ng_2	Promoter	29	2436	0.795818360013068	126436	0.793358767130164	1091
K562-unpooled_WT-100ng_2	Promoter	30	2266	0.790097629009763	121506	0.790175000487738	1022
K562-unpooled_WT-100ng_2	Promoter	31	2148	0.789125642909625	117966	0.789645962608189	988
K562-unpooled_WT-100ng_2	Promoter	32	2006	0.791633780584057	113564	0.791039473959168	936
K562-unpooled_WT-100ng_2	Promoter	33	1898	0.791492910758966	110108	0.790943244427524	896
K562-unpooled_WT-100ng_2	Promoter	34	1797	0.791978845306302	106775	0.791195518472961	867
K562-unpooled_WT-100ng_2	Promoter	35	1716	0.792243767313019	104021	0.791323068496485	841
K562-unpooled_WT-100ng_2	Promoter	36	1623	0.79248046875	100766	0.791426462041124	811
K562-unpooled_WT-100ng_2	Promoter	37	1529	0.789364997418689	97382	0.789630734800448	773
K562-unpooled_WT-100ng_2	Promoter	38	1467	0.79126213592233	95088	0.790719720593738	747
K562-unpooled_WT-100ng_2	Promoter	39	1393	0.792377701934016	92276	0.791341857692934	722
K562-unpooled_WT-100ng_2	Promoter	40	1320	0.789473684210526	89429	0.789639126557354	696
K562-unpooled_WT-100ng_2	Promoter	41	1258	0.78871473354232	86949	0.789204251495375	661
K562-unpooled_WT-100ng_2	Promoter	42	1197	0.788018433179724	84448	0.788813435833248	632
K562-unpooled_WT-100ng_2	Promoter	43	1137	0.785763648928818	81928	0.787519344823277	610
K562-unpooled_WT-100ng_2	Promoter	44	1087	0.784271284271284	79778	0.786687703382309	589
K562-unpooled_WT-100ng_2	Promoter	45	1021	0.780581039755352	76874	0.784604707179163	560
K562-unpooled_WT-100ng_2	Promoter	46	980	0.779014308426073	75029	0.783772772856427	548
K562-unpooled_WT-100ng_2	Promoter	47	926	0.775544388609715	72545	0.781869718917055	529
K562-unpooled_WT-100ng_2	Promoter	48	879	0.77787610619469	70336	0.783461058634824	502
K562-unpooled_WT-100ng_2	Promoter	49	840	0.785046728971963	68464	0.787884367519794	487
K562-unpooled_WT-100ng_2	Promoter	50	808	0.791380999020568	66896	0.791715486123439	471
