sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDL248W	260	217	258	28	25	26	38	17	28
YDL247W-A	3	2	4	0	0	0	0	0	0
YDL247W	8	10	7	0	0	0	1	0	0
YDL246C	0	0	0	0	0	0	0	0	0
YDL245C	0	0	2	0	0	0	0	0	0
YDL244W	18	15	12	0	0	0	0	1	1
YDL243C	229	168	186	3	4	5	8	7	15
YDL242W	1	1	2	0	1	0	2	0	2
YDL241W	206	194	189	6	13	10	14	9	9
YDL240C-A	0	0	0	0	1	0	0	0	0
YDL240W	272	247	210	34	15	22	29	13	24
YDL239C	258	216	216	3	3	1	14	6	9
YDL238C	253	212	204	16	4	13	12	9	8
YDL237W	1084	1000	1099	46	46	48	40	30	32
YDL236W	1919	1790	1682	32	32	25	36	38	31
YDL235C	952	790	714	54	48	59	67	56	51
YDL234C	2537	2299	2282	36	52	53	66	53	72
YDL233W	506	429	410	9	9	10	18	15	21
YDL232W	297	239	291	57	46	60	46	49	41
YDL231C	1057	1042	941	51	61	68	81	71	79
YDL230W	428	304	323	18	26	24	40	25	31
YDL229W	19196	18316	18464	216	124	117	150	168	207
YDL228C	5	4	4	0	0	0	0	0	0
YDL227C	209	175	182	13	10	15	13	17	21
YDL226C	1697	1526	1248	42	42	54	78	64	79
YDL225W	1414	1241	1252	41	30	45	54	52	82
YDL224C	1018	711	620	16	27	18	26	24	20
YDL223C	636	509	495	35	29	48	43	33	50
YDL222C	448	406	473	44	63	71	57	31	32
YDL221W	11	14	10	4	3	6	7	1	8
YDL220C	178	164	166	22	34	32	38	18	34
YDL219W	356	331	315	51	49	37	69	57	60
YDL218W	36	18	30	1	3	0	1	1	1
YDL217C	303	344	246	6	10	6	15	10	12
YDL216C	321	283	295	10	10	12	17	11	23
YDL215C	4027	3269	3498	67	85	73	123	80	112
YDL214C	231	192	186	2	9	5	2	4	9
YDL213C	985	910	841	148	154	175	231	190	202
YDL212W	1907	1978	1819	64	78	64	84	64	81
YDL211C	37	43	51	13	6	5	4	5	8
tG(GCC)D1	0	0	0	0	0	0	1	0	0
YDL210W	31	27	38	0	0	0	0	1	1
YDL209C	97	87	98	24	22	18	28	17	27
YDL208W	1200	1088	1038	126	147	132	157	138	132
YDL207W	967	806	864	279	244	282	259	210	276
YDL206W	565	443	486	12	8	10	12	6	22
YDL205C	781	655	628	25	40	40	56	36	60
YDL204W	2004	1666	1767	66	81	73	90	58	83
YDL203C	539	441	343	12	13	20	9	13	13
YDL202W	610	491	499	22	29	31	49	37	33
YDL201W	908	789	732	57	60	74	71	59	72
YDL200C	136	127	132	17	34	34	50	30	55
YDL199C	401	296	305	32	29	37	30	22	23
YDL198C	1526	1330	1347	23	38	31	55	49	51
YDL197C	848	671	691	37	22	37	36	21	35
YDL196W	8	5	3	3	7	8	5	3	3
YDL195W	3290	3121	2739	107	113	127	118	108	156
YDL194W	674	524	575	33	25	29	37	23	31
YDL193W	960	841	764	56	48	84	136	81	108
YDL192W	4027	3650	3605	230	252	241	277	215	258
YDL191W	6273	5435	5157	302	316	354	420	338	371
YDL190C	1493	1405	1499	31	36	41	46	37	65
YDL189W	771	557	533	45	45	49	55	40	57
YDL188C	910	751	796	223	83	128	108	91	116
YDL187C	22	34	34	0	0	0	0	1	1
YDL186W	1	1	0	1	0	1	0	0	0
YDL185C-A	0	0	0	0	0	0	0	0	0
YDL185W	8111	7867	7680	127	149	156	216	149	290
YDL184C	6319	5488	5820	175	164	169	550	343	440
