sample_1	sample_2	spearman
yeast_rnaseq_1	yeast_rnaseq_1	1
yeast_rnaseq_2	yeast_rnaseq_1	0.997
yeast_rnaseq_3	yeast_rnaseq_1	0.996
yeast_stripeseq_unpooled_1	yeast_rnaseq_1	0.827
yeast_stripeseq_unpooled_2	yeast_rnaseq_1	0.835
yeast_stripeseq_unpooled_3	yeast_rnaseq_1	0.823
yeast_stripeseq_pooled_1	yeast_rnaseq_1	0.834
yeast_stripeseq_pooled_2	yeast_rnaseq_1	0.84
yeast_stripeseq_pooled_3	yeast_rnaseq_1	0.847
yeast_rnaseq_1	yeast_rnaseq_2	0.997
yeast_rnaseq_2	yeast_rnaseq_2	1
yeast_rnaseq_3	yeast_rnaseq_2	0.997
yeast_stripeseq_unpooled_1	yeast_rnaseq_2	0.825
yeast_stripeseq_unpooled_2	yeast_rnaseq_2	0.834
yeast_stripeseq_unpooled_3	yeast_rnaseq_2	0.821
yeast_stripeseq_pooled_1	yeast_rnaseq_2	0.832
yeast_stripeseq_pooled_2	yeast_rnaseq_2	0.839
yeast_stripeseq_pooled_3	yeast_rnaseq_2	0.846
yeast_rnaseq_1	yeast_rnaseq_3	0.996
yeast_rnaseq_2	yeast_rnaseq_3	0.997
yeast_rnaseq_3	yeast_rnaseq_3	1
yeast_stripeseq_unpooled_1	yeast_rnaseq_3	0.822
yeast_stripeseq_unpooled_2	yeast_rnaseq_3	0.83
yeast_stripeseq_unpooled_3	yeast_rnaseq_3	0.818
yeast_stripeseq_pooled_1	yeast_rnaseq_3	0.83
yeast_stripeseq_pooled_2	yeast_rnaseq_3	0.836
yeast_stripeseq_pooled_3	yeast_rnaseq_3	0.843
yeast_rnaseq_1	yeast_stripeseq_unpooled_1	0.827
yeast_rnaseq_2	yeast_stripeseq_unpooled_1	0.825
yeast_rnaseq_3	yeast_stripeseq_unpooled_1	0.822
yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_1	1
yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_1	0.98
yeast_stripeseq_unpooled_3	yeast_stripeseq_unpooled_1	0.98
yeast_stripeseq_pooled_1	yeast_stripeseq_unpooled_1	0.964
yeast_stripeseq_pooled_2	yeast_stripeseq_unpooled_1	0.966
yeast_stripeseq_pooled_3	yeast_stripeseq_unpooled_1	0.96
yeast_rnaseq_1	yeast_stripeseq_unpooled_2	0.835
yeast_rnaseq_2	yeast_stripeseq_unpooled_2	0.834
yeast_rnaseq_3	yeast_stripeseq_unpooled_2	0.83
yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	0.98
yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_2	1
yeast_stripeseq_unpooled_3	yeast_stripeseq_unpooled_2	0.979
yeast_stripeseq_pooled_1	yeast_stripeseq_unpooled_2	0.969
yeast_stripeseq_pooled_2	yeast_stripeseq_unpooled_2	0.972
yeast_stripeseq_pooled_3	yeast_stripeseq_unpooled_2	0.963
yeast_rnaseq_1	yeast_stripeseq_unpooled_3	0.823
yeast_rnaseq_2	yeast_stripeseq_unpooled_3	0.821
yeast_rnaseq_3	yeast_stripeseq_unpooled_3	0.818
yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_3	0.98
yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	0.979
yeast_stripeseq_unpooled_3	yeast_stripeseq_unpooled_3	1
yeast_stripeseq_pooled_1	yeast_stripeseq_unpooled_3	0.968
yeast_stripeseq_pooled_2	yeast_stripeseq_unpooled_3	0.968
yeast_stripeseq_pooled_3	yeast_stripeseq_unpooled_3	0.964
yeast_rnaseq_1	yeast_stripeseq_pooled_1	0.834
yeast_rnaseq_2	yeast_stripeseq_pooled_1	0.832
yeast_rnaseq_3	yeast_stripeseq_pooled_1	0.83
yeast_stripeseq_unpooled_1	yeast_stripeseq_pooled_1	0.964
yeast_stripeseq_unpooled_2	yeast_stripeseq_pooled_1	0.969
yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	0.968
yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_1	1
yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_1	0.983
yeast_stripeseq_pooled_3	yeast_stripeseq_pooled_1	0.985
yeast_rnaseq_1	yeast_stripeseq_pooled_2	0.84
yeast_rnaseq_2	yeast_stripeseq_pooled_2	0.839
yeast_rnaseq_3	yeast_stripeseq_pooled_2	0.836
yeast_stripeseq_unpooled_1	yeast_stripeseq_pooled_2	0.966
yeast_stripeseq_unpooled_2	yeast_stripeseq_pooled_2	0.972
yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_2	0.968
yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	0.983
yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_2	1
yeast_stripeseq_pooled_3	yeast_stripeseq_pooled_2	0.982
yeast_rnaseq_1	yeast_stripeseq_pooled_3	0.847
yeast_rnaseq_2	yeast_stripeseq_pooled_3	0.846
yeast_rnaseq_3	yeast_stripeseq_pooled_3	0.843
yeast_stripeseq_unpooled_1	yeast_stripeseq_pooled_3	0.96
yeast_stripeseq_unpooled_2	yeast_stripeseq_pooled_3	0.963
yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_3	0.964
yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_3	0.985
yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3	0.982
yeast_stripeseq_pooled_3	yeast_stripeseq_pooled_3	1
