Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YDL248W	260	258	217
YDL247W-A	3	4	2
YDL247W	8	7	10
YDL246C	0	0	0
YDL245C	0	2	0
YDL244W	18	12	15
YDL243C	229	186	168
YDL242W	1	2	1
YDL241W	206	189	194
YDL240C-A	0	0	0
YDL240W	272	210	247
YDL239C	258	216	216
YDL238C	253	204	212
YDL237W	1084	1099	1000
YDL236W	1919	1682	1790
YDL235C	952	714	790
YDL234C	2537	2282	2299
YDL233W	506	410	429
YDL232W	297	291	239
YDL231C	1057	941	1042
YDL230W	428	323	304
YDL229W	19196	18464	18316
YDL228C	5	4	4
YDL227C	209	182	175
YDL226C	1697	1248	1526
YDL225W	1414	1252	1241
YDL224C	1018	620	711
YDL223C	636	495	509
YDL222C	448	473	406
YDL221W	11	10	14
YDL220C	178	166	164
YDL219W	356	315	331
YDL218W	36	30	18
YDL217C	303	246	344
YDL216C	321	295	283
YDL215C	4027	3498	3269
YDL214C	231	186	192
YDL213C	985	841	910
YDL212W	1907	1819	1978
YDL211C	37	51	43
tG(GCC)D1	0	0	0
YDL210W	31	38	27
YDL209C	97	98	87
YDL208W	1200	1038	1088
YDL207W	967	864	806
YDL206W	565	486	443
YDL205C	781	628	655
YDL204W	2004	1767	1666
YDL203C	539	343	441
YDL202W	610	499	491
YDL201W	908	732	789
YDL200C	136	132	127
YDL199C	401	305	296
YDL198C	1526	1347	1330
YDL197C	848	691	671
YDL196W	8	3	5
YDL195W	3290	2739	3121
YDL194W	674	575	524
YDL193W	960	764	841
YDL192W	4027	3605	3650
YDL191W	6273	5157	5435
YDL190C	1493	1499	1405
YDL189W	771	533	557
YDL188C	910	796	751
YDL187C	22	34	34
YDL186W	1	0	1
YDL185C-A	0	0	0
YDL185W	8111	7680	7867
YDL184C	6319	5820	5488
YDL183C	356	325	312
