Geneid	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_1_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_1_Aligned.out_cleaned.bam
YDL248W	17	38	28	26	25	28
YDL247W-A	0	0	0	0	0	0
YDL247W	0	1	0	0	0	0
YDL246C	0	0	0	0	0	0
YDL245C	0	0	0	0	0	0
YDL244W	1	0	1	0	0	0
YDL243C	7	8	15	5	4	3
YDL242W	0	2	2	0	1	0
YDL241W	9	14	9	10	13	6
YDL240C-A	0	0	0	0	1	0
YDL240W	13	29	24	22	15	34
YDL239C	6	14	9	1	3	3
YDL238C	9	12	8	13	4	16
YDL237W	30	40	32	48	46	46
YDL236W	38	36	31	25	32	32
YDL235C	56	67	51	59	48	54
YDL234C	53	66	72	53	52	36
YDL233W	15	18	21	10	9	9
YDL232W	49	46	41	60	46	57
YDL231C	71	81	79	68	61	51
YDL230W	25	40	31	24	26	18
YDL229W	168	150	207	117	124	216
YDL228C	0	0	0	0	0	0
YDL227C	17	13	21	15	10	13
YDL226C	64	78	79	54	42	42
YDL225W	52	54	82	45	30	41
YDL224C	24	26	20	18	27	16
YDL223C	33	43	50	48	29	35
YDL222C	31	57	32	71	63	44
YDL221W	1	7	8	6	3	4
YDL220C	18	38	34	32	34	22
YDL219W	57	69	60	37	49	51
YDL218W	1	1	1	0	3	1
YDL217C	10	15	12	6	10	6
YDL216C	11	17	23	12	10	10
YDL215C	80	123	112	73	85	67
YDL214C	4	2	9	5	9	2
YDL213C	190	231	202	175	154	148
YDL212W	64	84	81	64	78	64
YDL211C	5	4	8	5	6	13
tG(GCC)D1	0	1	0	0	0	0
YDL210W	1	0	1	0	0	0
YDL209C	17	28	27	18	22	24
YDL208W	138	157	132	132	147	126
YDL207W	210	259	276	282	244	279
YDL206W	6	12	22	10	8	12
YDL205C	36	56	60	40	40	25
YDL204W	58	90	83	73	81	66
YDL203C	13	9	13	20	13	12
YDL202W	37	49	33	31	29	22
YDL201W	59	71	72	74	60	57
YDL200C	30	50	55	34	34	17
YDL199C	22	30	23	37	29	32
YDL198C	49	55	51	31	38	23
YDL197C	21	36	35	37	22	37
YDL196W	3	5	3	8	7	3
YDL195W	108	118	156	127	113	107
YDL194W	23	37	31	29	25	33
YDL193W	81	136	108	84	48	56
YDL192W	215	277	258	241	252	230
YDL191W	338	420	371	354	316	302
YDL190C	37	46	65	41	36	31
YDL189W	40	55	57	49	45	45
YDL188C	91	108	116	128	83	223
YDL187C	1	0	1	0	0	0
YDL186W	0	0	0	1	0	1
YDL185C-A	0	0	0	0	0	0
YDL185W	149	216	290	156	149	127
YDL184C	343	550	440	169	164	175
YDL183C	15	38	33	32	25	25
YDL182W	105	159	139	128	133	118
YDL181W	65	108	86	93	46	83
YDL180W	10	8	4	11	8	14
YDL179W	18	13	16	15	18	26
YDL178W	67	81	87	47	47	57
YDL177C	27	38	35	34	23	25
YDL176W	116	209	193	170	105	127
YDL175C	18	43	31	43	31	32
YDL174C	116	171	182	129	106	120
YDL173W	33	54	45	135	44	47
YDL172C	1	4	0	3	0	1
YDL171C	65	102	120	54	45	43
YDL170W	15	17	21	19	16	13
YDL169C	42	57	53	45	34	33
YDL168W	16	24	33	25	21	17
YDL167C	107	114	162	64	79	75
YDL166C	21	25	30	17	20	12
YDL165W	57	86	83	79	77	70
YDL164C	12	17	19	7	14	7
YDL163W	0	0	0	0	0	0
YDL162C	0	0	0	0	0	0
YDL161W	219	261	286	253	194	207
YDL160C-A	15	12	17	11	14	16
YDL160C	65	86	105	102	91	75
YDL159W-A	0	0	0	0	0	0
YDL159W	15	27	27	15	15	16
YDL159C-B	0	0	0	0	0	0
YDL158C	13	21	20	16	18	17
YDL157C	16	21	15	9	19	10
YDL156W	6	6	7	3	5	6
YDL155W	46	60	71	47	45	48
YDL154W	10	18	21	19	11	12
YDL153C	603	612	691	551	501	464
YDL152W	0	0	0	0	0	0
YDL151C	0	0	0	0	0	0
YDL150W	81	91	106	84	75	73
YDL149W	32	49	55	58	41	34
YDL148C	232	314	348	247	200	190
YDL147W	253	319	344	254	264	212
YDL146W	8	14	11	6	10	7
YDL145C	95	96	156	131	128	136
YDL144C	35	51	56	53	45	28
YDL143W	66	61	96	46	43	33
YDL142C	19	18	14	34	28	28
YDL141W	15	26	29	26	27	31
YDL140C	191	151	291	121	78	121
YDL139C	23	38	29	21	19	28
YDL138W	39	40	40	50	40	45
YDL137W	112	151	120	121	126	104
YDL136W	131	155	119	161	157	111
YDL135C	42	105	73	50	65	55
YDL134C	32	29	26	39	30	36
YDL133C-A	197	298	261	155	155	114
YDL133W	40	51	46	52	32	38
YDL132W	34	61	94	67	47	60
YDL131W	97	138	116	101	90	88
YDL130W-A	142	173	148	176	134	124
YDL130W	338	430	367	303	317	231
YDL129W	64	92	91	83	63	69
YDL128W	11	21	24	14	12	21
YDL127W	19	11	12	15	14	20
YDL126C	550	722	988	393	316	314
YDL125C	53	73	49	65	62	57
YDL124W	219	301	327	241	265	232
