sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
S288C-unpooled_WT-100ng_3	Promoter	1	106024	0.617801474230108	420279	0.757873951852854	6755
S288C-unpooled_WT-100ng_3	Promoter	2	49474	0.809364110785741	363729	0.819095081317474	5910
S288C-unpooled_WT-100ng_3	Promoter	3	33299	0.853908093137758	331379	0.828861930965483	5353
S288C-unpooled_WT-100ng_3	Promoter	4	25171	0.866233051139101	306995	0.829747612071808	4951
S288C-unpooled_WT-100ng_3	Promoter	5	20006	0.867751030145305	286335	0.827619994566066	4561
S288C-unpooled_WT-100ng_3	Promoter	6	16525	0.866090146750524	268930	0.824688208182178	4178
S288C-unpooled_WT-100ng_3	Promoter	7	13925	0.862870244144256	253330	0.821308036712952	3856
S288C-unpooled_WT-100ng_3	Promoter	8	11981	0.85774627720504	239722	0.817446812863802	3587
S288C-unpooled_WT-100ng_3	Promoter	9	10464	0.852742237796431	227586	0.813734218627651	3311
S288C-unpooled_WT-100ng_3	Promoter	10	9237	0.847664494815087	216543	0.810066775152909	3076
S288C-unpooled_WT-100ng_3	Promoter	11	8152	0.841366498090618	205693	0.805896526730268	2857
S288C-unpooled_WT-100ng_3	Promoter	12	7309	0.837803759743237	196420	0.802959692584417	2662
S288C-unpooled_WT-100ng_3	Promoter	13	6576	0.831983805668016	187624	0.799148138683022	2473
S288C-unpooled_WT-100ng_3	Promoter	14	5983	0.826952315134762	179915	0.795791810972077	2308
S288C-unpooled_WT-100ng_3	Promoter	15	5472	0.823104693140794	172761	0.792972712459551	2172
S288C-unpooled_WT-100ng_3	Promoter	16	5014	0.817544431762596	165891	0.789430855620063	2046
S288C-unpooled_WT-100ng_3	Promoter	17	4579	0.813755109294473	158931	0.786615786660331	1912
S288C-unpooled_WT-100ng_3	Promoter	18	4203	0.810294968189705	152539	0.784004235110298	1786
S288C-unpooled_WT-100ng_3	Promoter	19	3896	0.808131093134205	147013	0.7820838830489	1689
S288C-unpooled_WT-100ng_3	Promoter	20	3614	0.806336456938867	141655	0.780317845043656	1604
S288C-unpooled_WT-100ng_3	Promoter	21	3354	0.803738317757009	136455	0.778164295286704	1502
S288C-unpooled_WT-100ng_3	Promoter	22	3117	0.800051334702259	131478	0.775507555828192	1434
S288C-unpooled_WT-100ng_3	Promoter	23	2907	0.795348837209302	126858	0.772412869285662	1357
S288C-unpooled_WT-100ng_3	Promoter	24	2714	0.794263974246415	122419	0.771085020344919	1280
S288C-unpooled_WT-100ng_3	Promoter	25	2538	0.791640673736744	118195	0.769008054756731	1212
S288C-unpooled_WT-100ng_3	Promoter	26	2376	0.788059701492537	114145	0.766469920697273	1153
S288C-unpooled_WT-100ng_3	Promoter	27	2218	0.78485491861288	110037	0.764098077203508	1085
S288C-unpooled_WT-100ng_3	Promoter	28	2083	0.780149812734082	106392	0.761046374385716	1025
S288C-unpooled_WT-100ng_3	Promoter	29	1975	0.776336477987421	103368	0.758558439557053	973
S288C-unpooled_WT-100ng_3	Promoter	30	1853	0.772727272727273	99830	0.756087401067899	920
S288C-unpooled_WT-100ng_3	Promoter	31	1758	0.773427188737352	96980	0.755973028803056	881
S288C-unpooled_WT-100ng_3	Promoter	32	1645	0.77121425222691	93477	0.754181290088346	837
S288C-unpooled_WT-100ng_3	Promoter	33	1550	0.768849206349206	90437	0.752381427775143	799
S288C-unpooled_WT-100ng_3	Promoter	34	1475	0.765041493775934	87962	0.749908352302275	769
S288C-unpooled_WT-100ng_3	Promoter	35	1376	0.757709251101322	84596	0.745411449567799	716
S288C-unpooled_WT-100ng_3	Promoter	36	1300	0.754060324825986	81936	0.743055618532861	684
S288C-unpooled_WT-100ng_3	Promoter	37	1231	0.750609756097561	79452	0.740845727073523	656
S288C-unpooled_WT-100ng_3	Promoter	38	1167	0.75	77084	0.740217213862508	624
S288C-unpooled_WT-100ng_3	Promoter	39	1113	0.744979919678715	75032	0.737190634794313	606
S288C-unpooled_WT-100ng_3	Promoter	40	1072	0.742382271468144	73433	0.735573118570384	588
S288C-unpooled_WT-100ng_3	Promoter	41	1010	0.73992673992674	70953	0.733963649905349	556
S288C-unpooled_WT-100ng_3	Promoter	42	957	0.740139211136891	68780	0.733896008280071	530
S288C-unpooled_WT-100ng_3	Promoter	43	918	0.738535800482703	67142	0.732839258232463	510
S288C-unpooled_WT-100ng_3	Promoter	44	876	0.736134453781513	65336	0.731318558316544	490
S288C-unpooled_WT-100ng_3	Promoter	45	849	0.735701906412478	64148	0.730981357400064	479
S288C-unpooled_WT-100ng_3	Promoter	46	821	0.740974729241877	62888	0.733935532058913	464
S288C-unpooled_WT-100ng_3	Promoter	47	782	0.739130434782609	61094	0.732664955747967	448
S288C-unpooled_WT-100ng_3	Promoter	48	745	0.737623762376238	59355	0.731603599161839	431
S288C-unpooled_WT-100ng_3	Promoter	49	711	0.735263702171665	57723	0.730060961728176	415
S288C-unpooled_WT-100ng_3	Promoter	50	682	0.732545649838883	56302	0.728338205997258	399
