sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
S288C-unpooled_WT-100ng_1	Promoter	1	97572	0.624400857517678	364931	0.744802743025083	6726
S288C-unpooled_WT-100ng_1	Promoter	2	44895	0.820509540171065	312254	0.803906070989983	5829
S288C-unpooled_WT-100ng_1	Promoter	3	29927	0.85674615670894	282318	0.809279606479557	5286
S288C-unpooled_WT-100ng_1	Promoter	4	22371	0.86327853669831	259650	0.806867619639528	4826
S288C-unpooled_WT-100ng_1	Promoter	5	17511	0.861337924249877	240210	0.802133144551599	4375
S288C-unpooled_WT-100ng_1	Promoter	6	14298	0.85417288965888	224145	0.796226763620346	3996
S288C-unpooled_WT-100ng_1	Promoter	7	12030	0.848078956644343	210537	0.79094238969138	3650
S288C-unpooled_WT-100ng_1	Promoter	8	10295	0.841026059962421	198392	0.785471361208661	3332
S288C-unpooled_WT-100ng_1	Promoter	9	8854	0.832612375399661	186864	0.779506175929518	3061
S288C-unpooled_WT-100ng_1	Promoter	10	7720	0.825756765429458	176658	0.774286014831957	2797
S288C-unpooled_WT-100ng_1	Promoter	11	6827	0.819863095952924	167728	0.769620439027972	2561
S288C-unpooled_WT-100ng_1	Promoter	12	6119	0.815323117921386	159940	0.765651478740414	2378
S288C-unpooled_WT-100ng_1	Promoter	13	5487	0.807743265125865	152356	0.760449213875718	2204
S288C-unpooled_WT-100ng_1	Promoter	14	4979	0.801126307320998	145752	0.755833972909623	2053
S288C-unpooled_WT-100ng_1	Promoter	15	4493	0.793255649717514	138948	0.750575296291095	1890
S288C-unpooled_WT-100ng_1	Promoter	16	4097	0.786523325014398	133008	0.745991239336612	1761
S288C-unpooled_WT-100ng_1	Promoter	17	3761	0.781262982966348	127632	0.742145752048239	1650
S288C-unpooled_WT-100ng_1	Promoter	18	3435	0.773300315173345	122090	0.737022571278516	1547
S288C-unpooled_WT-100ng_1	Promoter	19	3157	0.769062119366626	117086	0.73368131489407	1450
S288C-unpooled_WT-100ng_1	Promoter	20	2923	0.762986165492039	112640	0.729623464027309	1359
S288C-unpooled_WT-100ng_1	Promoter	21	2705	0.75919169239405	108280	0.726609001415908	1284
S288C-unpooled_WT-100ng_1	Promoter	22	2531	0.755522388059702	104626	0.723814926529596	1215
S288C-unpooled_WT-100ng_1	Promoter	23	2324	0.748229233741146	100072	0.719011352205777	1133
S288C-unpooled_WT-100ng_1	Promoter	24	2154	0.741991043747847	96162	0.714900640096349	1066
S288C-unpooled_WT-100ng_1	Promoter	25	2023	0.738590726542534	93018	0.712372199885123	1008
S288C-unpooled_WT-100ng_1	Promoter	26	1905	0.734953703703704	90068	0.709755713159968	959
S288C-unpooled_WT-100ng_1	Promoter	27	1787	0.733278621255642	87000	0.708065435012615	903
S288C-unpooled_WT-100ng_1	Promoter	28	1665	0.728346456692913	83706	0.704637478639314	844
S288C-unpooled_WT-100ng_1	Promoter	29	1555	0.723592368543509	80626	0.701357899040511	794
S288C-unpooled_WT-100ng_1	Promoter	30	1450	0.718533201189296	77581	0.697934471652962	742
S288C-unpooled_WT-100ng_1	Promoter	31	1366	0.713688610240334	75061	0.694764804976027	710
S288C-unpooled_WT-100ng_1	Promoter	32	1291	0.71129476584022	72736	0.692928388381332	677
S288C-unpooled_WT-100ng_1	Promoter	33	1230	0.713871154962275	70784	0.693790737564323	651
S288C-unpooled_WT-100ng_1	Promoter	34	1156	0.70920245398773	68342	0.690630179069485	620
S288C-unpooled_WT-100ng_1	Promoter	35	1094	0.70535138620245	66234	0.68800249298847	590
S288C-unpooled_WT-100ng_1	Promoter	36	1035	0.704560925799864	64169	0.68703426124197	567
S288C-unpooled_WT-100ng_1	Promoter	37	974	0.702235039653929	61973	0.685178223951884	539
S288C-unpooled_WT-100ng_1	Promoter	38	920	0.698027314112291	59975	0.682348256442346	512
S288C-unpooled_WT-100ng_1	Promoter	39	877	0.694928684627575	58341	0.680226660603729	490
S288C-unpooled_WT-100ng_1	Promoter	40	827	0.693791946308725	56391	0.679106904151161	465
S288C-unpooled_WT-100ng_1	Promoter	41	787	0.689745836985101	54791	0.676457152734052	448
S288C-unpooled_WT-100ng_1	Promoter	42	751	0.687099725526075	53315	0.674625770286857	429
S288C-unpooled_WT-100ng_1	Promoter	43	714	0.682600382409178	51761	0.671740964246318	412
S288C-unpooled_WT-100ng_1	Promoter	44	684	0.683316683316683	50471	0.67187167199148	399
S288C-unpooled_WT-100ng_1	Promoter	45	651	0.67741935483871	49019	0.668197928026172	380
S288C-unpooled_WT-100ng_1	Promoter	46	631	0.680690399137001	48119	0.669901155506056	370
S288C-unpooled_WT-100ng_1	Promoter	47	612	0.683798882681564	47245	0.671494357429148	360
S288C-unpooled_WT-100ng_1	Promoter	48	591	0.684820393974508	46258	0.671827344816568	354
S288C-unpooled_WT-100ng_1	Promoter	49	569	0.682254196642686	45202	0.670036464972874	344
S288C-unpooled_WT-100ng_1	Promoter	50	542	0.679197994987469	43879	0.667889433468294	323
