seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	24838	24838	1	+	1	9	1	1	0	2	1	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3272
I	31108	31123	16	+	4	32	0.38	16	1.03	0.1	0.05	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-444
I	31166	31188	23	+	2	31	0.87	23	8.16	1.45	0.45	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-379
I	31225	31260	36	+	6	110	0.37	36	-4.77	-0.11	0.18	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-307
I	33345	33362	18	+	3	52	0.81	18	4.77	1.11	0.44	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-86
I	35057	35057	1	+	1	10	1	1	0	2	1	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-98
I	35103	35114	12	+	3	27	0.37	12	-0.35	0.42	0	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-41
I	36513	36525	13	+	2	25	0.76	13	3.12	1.2	0.2	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	4
I	36556	36571	16	+	3	21	0.52	16	2.55	0.54	0.08	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	47
I	37415	37415	1	+	1	5	1	1	0	2	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-49
I	39205	39217	13	+	3	13	0.38	13	1.54	0.42	0.01	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-42
I	42134	42212	79	+	14	125	0.15	79	-3.15	-1.64	0.04	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	45766	45766	1	+	1	4	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-133
I	45810	45810	1	+	1	4	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-89
I	45874	45874	1	+	1	4	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-25
I	48534	48566	33	+	5	32	0.38	33	4.5	-0.19	0.06	Promoter	1	48564	51707	3144	1	YAL051W	YAL051W_mRNA	0
I	57484	57524	41	+	6	34	0.32	41	5.24	-0.47	0.04	Promoter	1	57518	57850	333	1	YAL044W-A	YAL044W-A_mRNA	0
I	61269	61304	36	+	8	84	0.38	36	4.58	-0.66	0.11	Promoter	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	-12
I	62072	62147	76	+	6	30	0.2	76	-1.67	-0.58	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-693
I	62173	62186	14	+	3	14	0.36	14	1.5	0.42	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-654
I	62334	62334	1	+	1	4	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-506
I	62773	62776	4	+	2	15	0.53	4	0.1	1	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-64
I	62808	62808	1	+	1	7	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-32
I	71649	71670	22	+	2	8	0.5	22	0	1	0	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	-116
I	71696	71780	85	+	13	502	0.42	85	17.41	-0.72	0.26	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	-6
