seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	24834	24838	5	+	14	2	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3268
I	31108	31125	18	+	16	3	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-442
I	31188	31188	1	+	18	1	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-379
I	31225	31242	18	+	64	4	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-325
I	33359	33359	1	+	30	1	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-89
I	34146	34146	1	+	4	1	Exon (YAL061W_mRNA/YAL061W, exon 1 of 1)	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	698
I	35057	35068	12	+	9	2	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-87
I	35103	35114	12	+	21	3	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-41
I	36513	36525	13	+	20	2	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	4
I	36567	36567	1	+	8	1	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	58
I	37415	37415	1	+	6	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-49
I	39215	39237	23	+	13	2	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-22
I	42134	42221	88	+	227	21	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	45769	45769	1	+	4	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-130
I	45810	45810	1	+	5	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-89
I	48550	48566	17	+	30	4	Promoter	1	48564	51707	3144	1	YAL051W	YAL051W_mRNA	0
I	57506	57520	15	+	14	3	Promoter	1	57518	57850	333	1	YAL044W-A	YAL044W-A_mRNA	0
I	61269	61313	45	+	76	9	Promoter	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	-3
I	62025	62025	1	+	5	1	Exon (YAL042W_mRNA/YAL042W, exon 1 of 1)	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	709
I	62066	62066	1	+	4	1	Exon (YAL042W_mRNA/YAL042W, exon 1 of 1)	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	750
I	62093	62093	1	+	5	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-747
I	62126	62145	20	+	13	2	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-695
I	62173	62186	14	+	8	2	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-654
I	62213	62213	1	+	4	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-627
