seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	11329	11329	1	+	1	4	1	1	0	2	1	Promoter	1	12046	12426	381	1	YAL064W-B	YAL064W-B_mRNA	-717
I	24831	24838	8	+	2	17	0.65	8	1.03	1.06	0.06	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3265
I	31108	31119	12	+	3	22	0.45	12	1.59	0.46	0.03	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-448
I	31188	31188	1	+	1	21	1	1	0	2	1	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-379
I	31225	31260	36	+	6	84	0.33	36	-4.58	-0.3	0.11	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-307
I	33359	33362	4	+	2	42	0.88	4	-1.14	1.47	0.47	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-86
I	35057	35068	12	+	2	18	0.78	12	-3.06	1.24	0.24	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-87
I	35103	35115	13	+	4	33	0.36	13	0.24	0.1	0.05	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-40
I	36513	36525	13	+	2	23	0.74	13	2.87	1.17	0.17	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	4
I	36556	36581	26	+	6	31	0.35	26	-2.02	-0.44	0.06	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	47
I	37392	37392	1	+	1	4	1	1	0	2	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-72
I	39215	39237	23	+	2	10	0.5	23	0	1	0	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-22
I	42134	42221	88	+	21	256	0.12	88	-4.52	-2.14	0.06	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	48539	48579	41	+	6	45	0.24	41	-0.89	-0.48	0.04	Promoter	1	48564	51707	3144	1	YAL051W	YAL051W_mRNA	0
I	57493	57524	32	+	3	14	0.43	32	3.64	0.44	0.02	Promoter	1	57518	57850	333	1	YAL044W-A	YAL044W-A_mRNA	0
I	61269	61304	36	+	9	83	0.34	36	3.36	-0.9	0.08	Promoter	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	-12
I	62086	62101	16	+	2	8	0.5	16	0	1	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-739
I	62126	62147	22	+	3	15	0.4	22	2.97	0.43	0.01	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-693
I	62173	62186	14	+	3	13	0.38	14	0.88	0.42	0.01	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-654
I	62214	62214	1	+	1	4	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-626
